field_id,crop_id
1,8
2,6
3,8
4,8
7,8
8,8
9,8
11,8
12,8
13,8
14,7
15,9
16,9
17,1
19,8
20,8
21,8
22,8
24,8
25,5
26,3
27,4
29,3
30,9
31,8
33,8
34,8
36,8
37,8
38,5
39,5
40,3
41,7
42,7
46,7
47,7
49,4
50,4
51,8
52,3
55,8
56,8
58,8
59,8
60,7
62,7
64,7
65,1
66,8
67,3
68,3
71,8
73,8
74,8
75,8
76,7
77,8
78,5
81,5
82,8
83,5
84,7
85,7
91,4
93,4
94,4
95,4
96,8
97,8
98,8
102,3
103,3
104,4
106,7
107,7
109,7
110,4
111,4
112,4
114,4
116,4
117,4
119,8
122,8
124,4
127,8
128,8
129,8
130,8
131,5
134,5
136,7
137,7
138,3
139,5
140,7
141,4
142,5
143,4
144,7
145,4
146,3
147,7
148,7
150,8
151,7
152,8
153,8
154,8
157,8
161,3
162,4
163,4
164,4
165,4
166,8
168,4
170,5
171,5
173,3
174,7
175,7
178,8
179,8
180,8
181,8
182,5
183,1
184,1
185,1
186,3
189,1
191,7
192,7
193,7
194,7
195,3
198,8
199,8
200,8
202,5
205,5
206,7
208,4
209,7
210,3
212,4
213,7
216,7
218,4
221,3
223,3
224,3
225,4
226,7
228,7
229,7
230,7
234,9
235,8
236,1
237,1
238,8
240,3
241,7
245,5
246,8
248,1
251,7
252,8
253,8
255,1
256,1
257,4
258,4
259,4
260,4
262,4
263,4
265,4
266,4
267,4
270,4
271,1
273,1
274,4
275,1
276,1
278,1
279,4
281,4
284,4
287,4
288,8
289,8
290,8
293,4
294,1
295,4
296,8
297,8
298,7
300,8
301,7
302,5
303,8
305,4
307,8
308,5
309,8
310,5
311,5
312,7
313,4
314,4
315,5
316,4
317,1
318,7
319,7
321,7
323,3
324,5
326,8
327,8
328,8
330,8
331,5
332,5
336,4
337,4
339,4
340,7
344,5
345,4
346,5
348,5
350,5
351,4
352,5
353,5
354,5
355,5
356,7
357,7
360,9
361,7
362,3
364,4
367,7
368,7
370,9
371,9
372,8
374,8
375,8
377,8
379,9
380,9
381,8
382,4
383,3
385,3
387,8
388,3
389,4
390,8
391,3
393,4
394,4
395,8
396,8
398,7
399,9
400,8
401,9
403,9
404,8
406,7
407,7
410,4
411,4
412,7
414,5
416,8
417,7
422,7
423,7
424,5
425,5
426,5
427,5
428,5
429,3
430,3
432,7
433,7
434,4
435,4
436,4
437,4
439,7
440,7
441,7
443,8
444,8
445,8
447,8
448,8
450,8
451,8
457,3
458,3
459,4
460,7
461,3
463,4
465,8
466,8
468,8
469,7
470,8
471,8
472,8
