,feature,importance,feature_type
0,Area,3,Area
1,corners,30,corners
2,squareness,4,squareness
3,centroid_x,10,centroid
4,centroid_y,10,centroid
5,Crop_Id_Ne_nf_1,94,Crop_Ne
6,Crop_Id_Ne_nf_2,56,Crop_Ne
7,Crop_Id_Ne_nf_3,50,Crop_Ne
8,distances_to_1,7,distances_1
9,distances_to_2,0,distances_2
10,distances_to_3,17,distances_3
11,contrast_20170101T082332_B02,8,contrast_B02
12,contrast_20170101T082332_B03,1,contrast_B03
13,contrast_20170101T082332_B04,7,contrast_B04
14,contrast_20170101T082332_B08,1,contrast_B08
15,contrast_20170131T082151_B02,14,contrast_B02
16,contrast_20170131T082151_B03,4,contrast_B03
17,contrast_20170131T082151_B04,3,contrast_B04
18,contrast_20170131T082151_B08,6,contrast_B08
19,contrast_20170210T082051_B02,2,contrast_B02
20,contrast_20170210T082051_B03,5,contrast_B03
21,contrast_20170210T082051_B04,2,contrast_B04
22,contrast_20170210T082051_B08,4,contrast_B08
23,contrast_20170312T082001_B02,10,contrast_B02
24,contrast_20170312T082001_B03,2,contrast_B03
25,contrast_20170312T082001_B04,4,contrast_B04
26,contrast_20170312T082001_B08,10,contrast_B08
27,contrast_20170322T081611_B02,2,contrast_B02
28,contrast_20170322T081611_B03,1,contrast_B03
29,contrast_20170322T081611_B04,1,contrast_B04
30,contrast_20170322T081611_B08,21,contrast_B08
31,contrast_20170531T082011_B02,0,contrast_B02
32,contrast_20170531T082011_B03,3,contrast_B03
33,contrast_20170531T082011_B04,2,contrast_B04
34,contrast_20170531T082011_B08,14,contrast_B08
35,contrast_20170620T082011_B02,3,contrast_B02
36,contrast_20170620T082011_B03,4,contrast_B03
37,contrast_20170620T082011_B04,3,contrast_B04
38,contrast_20170620T082011_B08,16,contrast_B08
39,contrast_20170710T082011_B02,1,contrast_B02
40,contrast_20170710T082011_B03,3,contrast_B03
41,contrast_20170710T082011_B04,1,contrast_B04
42,contrast_20170710T082011_B08,4,contrast_B08
43,contrast_20170715T081609_B02,1,contrast_B02
44,contrast_20170715T081609_B03,8,contrast_B03
45,contrast_20170715T081609_B04,3,contrast_B04
46,contrast_20170715T081609_B08,3,contrast_B08
47,contrast_20170804T081559_B02,3,contrast_B02
48,contrast_20170804T081559_B03,6,contrast_B03
49,contrast_20170804T081559_B04,6,contrast_B04
50,contrast_20170804T081559_B08,4,contrast_B08
51,contrast_20170819T082011_B02,2,contrast_B02
52,contrast_20170819T082011_B03,3,contrast_B03
53,contrast_20170819T082011_B04,1,contrast_B04
54,contrast_20170819T082011_B08,14,contrast_B08
55,correlation_20170101T082332_B02,1,correlation_B02
56,correlation_20170101T082332_B03,4,correlation_B03
57,correlation_20170101T082332_B04,4,correlation_B04
58,correlation_20170101T082332_B08,6,correlation_B08
59,correlation_20170131T082151_B02,4,correlation_B02
60,correlation_20170131T082151_B03,0,correlation_B03
61,correlation_20170131T082151_B04,1,correlation_B04
62,correlation_20170131T082151_B08,1,correlation_B08
63,correlation_20170210T082051_B02,1,correlation_B02
64,correlation_20170210T082051_B03,6,correlation_B03
65,correlation_20170210T082051_B04,9,correlation_B04
66,correlation_20170210T082051_B08,1,correlation_B08
67,correlation_20170312T082001_B02,3,correlation_B02
68,correlation_20170312T082001_B03,4,correlation_B03
69,correlation_20170312T082001_B04,0,correlation_B04
70,correlation_20170312T082001_B08,2,correlation_B08
71,correlation_20170322T081611_B02,2,correlation_B02
72,correlation_20170322T081611_B03,5,correlation_B03
73,correlation_20170322T081611_B04,2,correlation_B04
74,correlation_20170322T081611_B08,4,correlation_B08
75,correlation_20170531T082011_B02,1,correlation_B02
76,correlation_20170531T082011_B03,2,correlation_B03
77,correlation_20170531T082011_B04,3,correlation_B04
78,correlation_20170531T082011_B08,3,correlation_B08
79,correlation_20170620T082011_B02,3,correlation_B02
80,correlation_20170620T082011_B03,2,correlation_B03
81,correlation_20170620T082011_B04,4,correlation_B04
82,correlation_20170620T082011_B08,4,correlation_B08
83,correlation_20170710T082011_B02,3,correlation_B02
84,correlation_20170710T082011_B03,4,correlation_B03
85,correlation_20170710T082011_B04,6,correlation_B04
86,correlation_20170710T082011_B08,1,correlation_B08
87,correlation_20170715T081609_B02,9,correlation_B02
88,correlation_20170715T081609_B03,1,correlation_B03
89,correlation_20170715T081609_B04,5,correlation_B04
90,correlation_20170715T081609_B08,2,correlation_B08
91,correlation_20170804T081559_B02,2,correlation_B02
92,correlation_20170804T081559_B03,2,correlation_B03
93,correlation_20170804T081559_B04,6,correlation_B04
94,correlation_20170804T081559_B08,2,correlation_B08
95,correlation_20170819T082011_B02,2,correlation_B02
96,correlation_20170819T082011_B03,18,correlation_B03
97,correlation_20170819T082011_B04,2,correlation_B04
98,correlation_20170819T082011_B08,8,correlation_B08
99,dissimilarity_20170101T082332_B02,1,dissimilarity_B02
100,dissimilarity_20170101T082332_B03,2,dissimilarity_B03
101,dissimilarity_20170101T082332_B04,1,dissimilarity_B04
102,dissimilarity_20170101T082332_B08,0,dissimilarity_B08
103,dissimilarity_20170131T082151_B02,1,dissimilarity_B02
104,dissimilarity_20170131T082151_B03,1,dissimilarity_B03
105,dissimilarity_20170131T082151_B04,1,dissimilarity_B04
106,dissimilarity_20170131T082151_B08,2,dissimilarity_B08
107,dissimilarity_20170210T082051_B02,2,dissimilarity_B02
108,dissimilarity_20170210T082051_B03,1,dissimilarity_B03
109,dissimilarity_20170210T082051_B04,8,dissimilarity_B04
110,dissimilarity_20170210T082051_B08,7,dissimilarity_B08
111,dissimilarity_20170312T082001_B02,0,dissimilarity_B02
112,dissimilarity_20170312T082001_B03,3,dissimilarity_B03
113,dissimilarity_20170312T082001_B04,3,dissimilarity_B04
114,dissimilarity_20170312T082001_B08,7,dissimilarity_B08
115,dissimilarity_20170322T081611_B02,3,dissimilarity_B02
116,dissimilarity_20170322T081611_B03,0,dissimilarity_B03
117,dissimilarity_20170322T081611_B04,1,dissimilarity_B04
118,dissimilarity_20170322T081611_B08,11,dissimilarity_B08
119,dissimilarity_20170531T082011_B02,2,dissimilarity_B02
120,dissimilarity_20170531T082011_B03,2,dissimilarity_B03
121,dissimilarity_20170531T082011_B04,1,dissimilarity_B04
122,dissimilarity_20170531T082011_B08,15,dissimilarity_B08
123,dissimilarity_20170620T082011_B02,3,dissimilarity_B02
124,dissimilarity_20170620T082011_B03,4,dissimilarity_B03
125,dissimilarity_20170620T082011_B04,1,dissimilarity_B04
126,dissimilarity_20170620T082011_B08,2,dissimilarity_B08
127,dissimilarity_20170710T082011_B02,1,dissimilarity_B02
128,dissimilarity_20170710T082011_B03,0,dissimilarity_B03
129,dissimilarity_20170710T082011_B04,2,dissimilarity_B04
130,dissimilarity_20170710T082011_B08,14,dissimilarity_B08
131,dissimilarity_20170715T081609_B02,7,dissimilarity_B02
132,dissimilarity_20170715T081609_B03,4,dissimilarity_B03
133,dissimilarity_20170715T081609_B04,2,dissimilarity_B04
134,dissimilarity_20170715T081609_B08,6,dissimilarity_B08
135,dissimilarity_20170804T081559_B02,4,dissimilarity_B02
136,dissimilarity_20170804T081559_B03,1,dissimilarity_B03
137,dissimilarity_20170804T081559_B04,7,dissimilarity_B04
138,dissimilarity_20170804T081559_B08,4,dissimilarity_B08
139,dissimilarity_20170819T082011_B02,0,dissimilarity_B02
140,dissimilarity_20170819T082011_B03,2,dissimilarity_B03
141,dissimilarity_20170819T082011_B04,3,dissimilarity_B04
142,dissimilarity_20170819T082011_B08,2,dissimilarity_B08
143,energy_20170101T082332_B02,3,energy_B02
144,energy_20170101T082332_B03,4,energy_B03
145,energy_20170101T082332_B04,3,energy_B04
146,energy_20170101T082332_B08,1,energy_B08
147,energy_20170131T082151_B02,4,energy_B02
148,energy_20170131T082151_B03,11,energy_B03
149,energy_20170131T082151_B04,0,energy_B04
150,energy_20170131T082151_B08,4,energy_B08
151,energy_20170210T082051_B02,7,energy_B02
152,energy_20170210T082051_B03,5,energy_B03
153,energy_20170210T082051_B04,1,energy_B04
154,energy_20170210T082051_B08,4,energy_B08
155,energy_20170312T082001_B02,13,energy_B02
156,energy_20170312T082001_B03,10,energy_B03
157,energy_20170312T082001_B04,0,energy_B04
158,energy_20170312T082001_B08,4,energy_B08
159,energy_20170322T081611_B02,14,energy_B02
160,energy_20170322T081611_B03,9,energy_B03
161,energy_20170322T081611_B04,5,energy_B04
162,energy_20170322T081611_B08,1,energy_B08
163,energy_20170531T082011_B02,11,energy_B02
164,energy_20170531T082011_B03,3,energy_B03
165,energy_20170531T082011_B04,4,energy_B04
166,energy_20170531T082011_B08,1,energy_B08
167,energy_20170620T082011_B02,1,energy_B02
168,energy_20170620T082011_B03,5,energy_B03
